timestamp,protocol,src_ip,src_port,dst_ip,dst_port,signature
2024-06-08 14:57:27,UDP,192.168.1.12,40451,239.255.255.250,1900,INDICATOR-SCAN UPnP service discover attempt
2024-06-08 14:58:14,UDP,192.168.1.12,36412,239.255.255.250,1900,INDICATOR-SCAN UPnP service discover attempt
2024-06-08 14:58:15,UDP,192.168.1.12,36412,239.255.255.250,1900,INDICATOR-SCAN UPnP service discover attempt
2024-06-08 14:58:16,UDP,192.168.1.12,36412,239.255.255.250,1900,INDICATOR-SCAN UPnP service discover attempt
2024-06-08 14:58:17,UDP,192.168.1.12,36412,239.255.255.250,1900,INDICATOR-SCAN UPnP service discover attempt
2024-06-08 14:58:27,UDP,192.168.1.12,55833,239.255.255.250,1900,INDICATOR-SCAN UPnP service discover attempt
2024-06-08 14:58:28,UDP,192.168.1.12,55833,239.255.255.250,1900,INDICATOR-SCAN UPnP service discover attempt
2024-06-08 14:58:29,UDP,192.168.1.12,55833,239.255.255.250,1900,INDICATOR-SCAN UPnP service discover attempt
2024-06-08 14:58:30,UDP,192.168.1.12,55833,239.255.255.250,1900,INDICATOR-SCAN UPnP service discover attempt
2024-06-08 14:58:41,TCP,192.168.1.12,38364,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 14:59:27,UDP,192.168.1.12,40451,239.255.255.250,1900,INDICATOR-SCAN UPnP service discover attempt
2024-06-08 14:59:48,TCP,192.168.1.12,38364,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 14:59:56,TCP,192.168.1.12,38364,192.168.1.50,705,PROTOCOL-SNMP AgentX/tcp request
2024-06-08 14:59:56,TCP,192.168.1.12,38366,192.168.1.50,705,PROTOCOL-SNMP AgentX/tcp request
2024-06-08 15:00:00,TCP,192.168.1.12,48992,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:00,TCP,192.168.1.12,52282,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 15:00:06,TCP,192.168.1.12,48992,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:06,TCP,192.168.1.12,52282,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 15:00:06,TCP,192.168.1.12,33458,192.168.1.50,389,SERVER-OTHER Novell eDirectory LDAP server buffer overflow attempt
2024-06-08 15:00:06,TCP,192.168.1.12,33942,192.168.1.50,161,PROTOCOL-SNMP request tcp
2024-06-08 15:00:06,TCP,192.168.1.12,58250,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 15:00:12,TCP,192.168.1.12,51486,192.168.1.50,3389,POLICY-OTHER Microsoft Windows Terminal server request attempt
2024-06-08 15:00:12,TCP,192.168.1.12,56518,192.168.1.50,3389,POLICY-OTHER Microsoft Windows Terminal server RDP attempt
2024-06-08 15:00:12,TCP,192.168.1.12,56518,192.168.1.50,3389,POLICY-OTHER Microsoft Windows Terminal server request attempt
2024-06-08 15:00:12,TCP,192.168.1.12,34442,192.168.1.50,27017,POLICY-OTHER MongoDB query attempt
2024-06-08 15:00:14,UDP,192.168.1.12,39565,239.255.255.250,1900,INDICATOR-SCAN UPnP service discover attempt
2024-06-08 15:00:15,UDP,192.168.1.12,39565,239.255.255.250,1900,INDICATOR-SCAN UPnP service discover attempt
2024-06-08 15:00:16,UDP,192.168.1.12,39565,239.255.255.250,1900,INDICATOR-SCAN UPnP service discover attempt
2024-06-08 15:00:17,UDP,192.168.1.12,39565,239.255.255.250,1900,INDICATOR-SCAN UPnP service discover attempt
2024-06-08 15:00:22,TCP,192.168.1.12,41686,192.168.1.50,162,PROTOCOL-SNMP trap tcp
2024-06-08 15:00:22,TCP,192.168.1.12,41688,192.168.1.50,162,PROTOCOL-SNMP trap tcp
